Date,Time,Pond,Pond_Section,Number_FS,Picture,FS_ID,Length_cm,Biomass_mg,Notes
6/17/21,11:25,8,West(2),16,N,NA,NA,,Small holes at bottom of ZP Net
6/17/21,11:25,8,North,0,N,NA,0.000,,Fewer pond sections than in future
6/17/21,11:25,8,East,0,N,NA,0.000,,
6/17/21,11:25,8,South,0,N,NA,0.000,,
6/17/21,12:00,16,West,0,N,NA,0.000,,
6/17/21,12:00,16,North,Not sampled,Not sampled,NA,NA,,
6/17/21,12:00,16,East,0,N,NA,0.000,,
6/17/21,12:00,16,South,0,N,NA,0.000,,
6/18/21,11:15,8,West,0,N,NA,0.000,,ZP Net holes sewn
6/18/21,11:15,8,West(2),1,Y,1,0.360,,Wrote date wrong in all photos today (says 6/17)
6/18/21,11:15,8,West(3),0,N,NA,0.000,,
6/18/21,11:15,8,East,0,N,NA,0.000,,
6/18/21,11:15,8,East(2),9,Y,1,0.353,,One FS in North photo
6/18/21,11:15,8,East(2),9,Y,2,0.456,,
6/18/21,11:15,8,East(2),9,Y,3,0.302,,
6/18/21,11:15,8,East(2),9,Y,4,0.546,,
6/18/21,11:15,8,East(2),9,Y,5,0.597,,
6/18/21,11:15,8,East(2),9,Y,6,0.274,,
6/18/21,11:15,8,East(2),9,Y,7,0.385,,
6/18/21,11:15,8,East(2),9,Y,8,0.260,,
6/18/21,11:15,8,East(2),9,Y,9,0.334,,
6/18/21,11:15,8,East(3),0,N,NA,0.000,,
6/18/21,11:15,8,North,1,Y,1,0.529,,Second smaller FS belongs to East(2)
6/18/21,11:15,8,South,Not sampled,Not sampled,NA,NA,,
6/18/21,13:40,11,East,1,Y,1,0.371,,
6/18/21,13:40,11,East(2),16,Y,1,0.375,,
6/18/21,13:40,11,East(2),16,Y,2,0.271,,
6/18/21,13:40,11,East(2),16,Y,3,0.314,,
6/18/21,13:40,11,East(2),16,Y,4,0.280,,
6/18/21,13:40,11,East(2),16,Y,5,0.440,,
6/18/21,13:40,11,East(2),16,Y,6,0.450,,
6/18/21,13:40,11,East(2),16,Y,7,0.326,,
6/18/21,13:40,11,East(2),16,Y,8,0.369,,
6/18/21,13:40,11,East(2),16,Y,9,0.542,,
6/18/21,13:40,11,East(2),16,Y,10,0.521,,
6/18/21,13:40,11,East(2),16,Y,11,0.486,,
6/18/21,13:40,11,East(2),16,Y,12,0.410,,
6/18/21,13:40,11,East(2),16,Y,13,0.325,,
6/18/21,13:40,11,East(2),16,Y,14,0.395,,
6/18/21,13:40,11,East(2),16,Y,15,0.403,,
6/18/21,13:40,11,East(2),16,Y,16,0.450,,
6/18/21,13:40,11,South,2,Y,1,0.398,,
6/18/21,13:40,11,South,2,Y,2,0.517,,
6/18/21,13:40,11,West,4,Y,1,0.434,,
6/18/21,13:40,11,West,4,Y,2,0.371,,
6/18/21,13:40,11,West,4,Y,3,0.363,,
6/18/21,13:40,11,West,4,Y,4,0.429,,
6/18/21,13:40,11,North,5,Y,1,0.450,,
6/18/21,13:40,11,North,5,Y,2,0.412,,
6/18/21,13:40,11,North,5,Y,3,0.477,,
6/18/21,13:40,11,North,5,Y,4,0.451,,
6/18/21,13:40,11,North,5,Y,5,0.362,,
6/18/21,13:40,11,North(2),2,Y,1,0.509,,
6/18/21,13:40,11,North(2),2,Y,2,0.474,,
6/18/21,13:40,11,North(3),2,Y,1,0.543,,
6/18/21,13:40,11,North(3),2,Y,2,0.363,,
6/18/21,14:30,13,North,Count,Y (5),1,0.598,,
6/18/21,14:30,13,North,Count,Y (5),2,0.459,,
6/18/21,14:30,13,North,Count,Y (5),3,0.491,,
6/18/21,14:30,13,North,Count,Y (5),4,0.503,,
6/18/21,14:30,13,North,Count,Y (5),5,0.429,,
6/18/21,14:30,13,North,Count,Y (5),6,0.454,,
6/18/21,14:30,13,North,Count,Y (5),7,0.473,,
6/18/21,14:30,13,North,Count,Y (5),8,0.566,,
6/18/21,14:30,13,North,Count,Y (5),9,0.484,,
6/18/21,14:30,13,North,Count,Y (5),10,0.547,,
6/18/21,14:30,13,North,Count,Y (5),11,0.477,,
6/18/21,14:30,13,North,Count,Y (5),12,0.400,,
6/18/21,14:30,13,North,Count,Y (5),13,0.540,,
6/18/21,14:30,13,North,Count,Y (5),14,0.467,,
6/18/21,14:30,13,North,Count,Y (5),15,0.563,,
6/18/21,14:30,13,North,Count,Y (5),16,0.449,,
6/18/21,14:30,13,North,Count,Y (5),17,0.480,,
6/18/21,14:30,13,North,Count,Y (5),18,0.442,,
6/18/21,14:30,13,North,Count,Y (5),19,0.467,,
6/18/21,14:30,13,North,Count,Y (5),20,0.450,,
6/18/21,14:30,13,North,Count,Y (5),21,0.411,,
6/18/21,14:30,13,North,Count,Y (5),22,0.342,,
6/18/21,14:30,13,North,Count,Y (5),23,0.533,,
6/18/21,14:30,13,North,Count,Y (5),24,0.503,,
6/18/21,14:30,13,North,Count,Y (5),25,0.405,,
6/18/21,14:30,13,North,Count,Y (5),26,0.382,,
6/18/21,14:30,13,North,Count,Y (5),27,0.479,,
6/18/21,14:30,13,North,Count,Y (5),28,0.463,,
6/18/21,14:30,13,North,Count,Y (5),29,0.391,,
6/18/21,14:30,13,North,Count,Y (5),30,0.468,,
6/18/21,14:30,13,North,Count,Y (5),31,0.408,,
6/18/21,14:30,13,North,Count,Y (5),32,0.465,,
6/18/21,14:30,13,North,Count,Y (5),33,0.390,,
6/18/21,14:30,13,North,Count,Y (5),34,0.341,,
6/18/21,14:30,13,North,Count,Y (5),35,0.428,,
6/18/21,14:30,13,North,Count,Y (5),36,0.500,,
6/18/21,14:30,13,North,Count,Y (5),37,0.670,,
6/18/21,14:30,13,North,Count,Y (5),38,0.477,,
6/18/21,14:30,13,North,Count,Y (5),39,0.416,,
6/18/21,14:30,13,North,Count,Y (5),40,0.445,,
6/18/21,14:30,13,North,Count,Y (5),41,0.393,,
6/18/21,14:30,13,North,Count,Y (5),42,0.526,,
6/18/21,14:30,13,North,Count,Y (5),43,0.486,,
6/18/21,14:30,13,North,Count,Y (5),44,0.462,,
6/18/21,14:30,13,North,Count,Y (5),45,0.487,,
6/18/21,14:30,13,North,Count,Y (5),46,0.435,,
6/18/21,14:30,13,North,Count,Y (5),47,0.470,,
6/18/21,14:30,13,North,Count,Y (5),48,0.480,,
6/18/21,14:30,13,North,Count,Y (5),49,0.416,,
6/18/21,14:30,13,North,Count,Y (5),50,0.389,,
6/18/21,14:30,13,North,Count,Y (5),51,0.451,,
6/18/21,14:30,13,North,Count,Y (5),52,0.425,,
6/18/21,14:30,13,North,Count,Y (5),53,0.389,,
6/18/21,14:30,13,North,Count,Y (5),54,0.432,,
6/18/21,14:30,13,North,Count,Y (5),55,0.307,,
6/18/21,14:30,13,North,Count,Y (5),56,0.426,,
6/18/21,14:30,13,North,Count,Y (5),57,0.347,,
6/18/21,14:30,13,North,Count,Y (5),58,0.422,,
6/18/21,14:30,13,North,Count,Y (5),59,0.396,,
6/18/21,14:30,13,North,Count,Y (5),60,0.468,,
6/18/21,14:30,13,North,Count,Y (5),61,0.396,,
6/18/21,14:30,13,North,Count,Y (5),62,0.448,,
6/18/21,14:30,13,North,Count,Y (5),63,0.488,,
6/18/21,14:30,13,North,Count,Y (5),64,0.488,,
6/18/21,14:30,13,North,Count,Y (5),65,0.476,,
6/18/21,14:30,13,North,Count,Y (5),66,0.416,,
6/18/21,14:30,13,North,Count,Y (5),67,0.421,,
6/18/21,14:30,13,North,Count,Y (5),68,0.466,,
6/18/21,14:30,13,North,Count,Y (5),69,0.433,,
6/18/21,14:30,13,North,Count,Y (5),70,0.432,,
6/18/21,14:30,13,North,Count,Y (5),71,0.433,,
6/18/21,14:30,13,North,Count,Y (5),72,0.336,,
6/18/21,14:30,13,North,Count,Y (5),73,0.524,,
6/18/21,14:30,13,North,Count,Y (5),74,0.385,,
6/18/21,14:30,13,North,Count,Y (5),75,0.372,,
6/18/21,14:30,13,North,Count,Y (5),76,0.486,,
6/18/21,14:30,13,North,Count,Y (5),77,0.441,,
6/18/21,14:30,13,North,Count,Y (5),78,0.436,,
6/18/21,14:30,13,North,Count,Y (5),79,0.425,,
6/18/21,14:30,13,North,Count,Y (5),80,0.438,,
6/18/21,14:30,13,North,Count,Y (5),81,0.466,,
6/18/21,14:30,13,North,Count,Y (5),82,0.350,,
6/18/21,14:30,13,North,Count,Y (5),83,0.422,,
6/18/21,14:30,13,North,Count,Y (5),84,0.662,,
6/18/21,14:30,13,North,Count,Y (5),85,0.440,,
6/18/21,14:30,13,North,Count,Y (5),86,0.482,,
6/18/21,14:30,13,North,Count,Y (5),87,0.358,,
6/18/21,14:30,13,North,Count,Y (5),88,0.324,,
6/18/21,14:30,13,North,Count,Y (5),89,0.358,,
6/18/21,14:30,13,North,Count,Y (5),90,0.316,,
6/18/21,14:30,13,North,Count,Y (5),91,0.340,,
6/18/21,14:30,13,North,Count,Y (5),92,0.404,,
6/18/21,14:30,13,North,Count,Y (5),93,0.375,,
6/18/21,14:30,13,North,Count,Y (5),94,0.328,,
6/18/21,14:30,13,North,Count,Y (5),95,0.449,,
6/18/21,14:30,13,North,Count,Y (5),96,0.390,,
6/18/21,14:30,13,North,Count,Y (5),97,0.358,,
6/18/21,14:30,13,North,Count,Y (5),98,0.353,,
6/18/21,14:30,13,North,Count,Y (5),99,0.417,,
6/18/21,14:30,13,North,Count,Y (5),100,0.388,,
6/18/21,14:30,13,North,Count,Y (5),101,0.314,,
6/18/21,14:30,13,North,Count,Y (5),102,0.352,,
6/18/21,14:30,13,North,Count,Y (5),103,0.374,,
6/18/21,14:30,13,North,Count,Y (5),104,0.354,,
6/18/21,14:30,13,North,Count,Y (5),105,0.479,,
6/18/21,14:30,13,North,Count,Y (5),106,0.408,,
6/18/21,14:30,13,North,Count,Y (5),107,0.406,,
6/18/21,14:30,13,North,Count,Y (5),108,0.310,,
6/18/21,14:30,13,North,Count,Y (5),109,0.340,,
6/18/21,14:30,13,North,Count,Y (5),110,0.328,,
6/18/21,14:30,13,North,Count,Y (5),111,0.346,,
6/18/21,14:30,13,North,Count,Y (5),112,0.357,,
6/18/21,14:30,13,North,Count,Y (5),113,0.396,,
6/18/21,14:30,13,North,Count,Y (5),114,0.424,,
6/18/21,14:30,13,North,Count,Y (5),115,0.415,,
6/18/21,14:30,13,North,Count,Y (5),116,0.401,,
6/18/21,14:30,13,North,Count,Y (5),117,0.466,,
6/18/21,14:30,13,North,Count,Y (5),118,0.291,,
6/18/21,14:30,13,North,Count,Y (5),119,0.328,,
6/18/21,14:30,13,North,Count,Y (5),120,0.423,,
6/18/21,14:30,13,North,Count,Y (5),121,0.297,,
6/18/21,14:30,13,North,Count,Y (5),122,0.456,,
6/18/21,14:30,13,North,Count,Y (5),123,0.375,,
6/18/21,14:30,13,North,Count,Y (5),124,0.375,,
6/18/21,14:30,13,North,Count,Y (5),125,0.429,,
6/18/21,14:30,13,North,Count,Y (5),126,0.402,,
6/18/21,14:30,13,North,Count,Y (5),127,0.382,,
6/18/21,14:30,13,North,Count,Y (5),128,0.370,,
6/18/21,14:30,13,North,Count,Y (5),129,0.316,,
6/18/21,14:30,13,North,Count,Y (5),130,0.435,,
6/18/21,14:30,13,North,Count,Y (5),131,0.453,,
6/18/21,14:30,13,North,Count,Y (5),132,0.349,,
6/18/21,14:30,13,North,Count,Y (5),133,0.350,,
6/18/21,14:30,13,North,Count,Y (5),134,0.350,,
6/18/21,14:30,13,North,Count,Y (5),135,0.357,,
6/18/21,14:30,13,North,Count,Y (5),136,0.347,,
6/18/21,14:30,13,North,Count,Y (5),137,0.343,,
6/18/21,14:30,13,North,Count,Y (5),138,0.341,,
6/18/21,14:30,13,North,Count,Y (5),139,0.366,,
6/18/21,14:30,13,North,Count,Y (5),140,0.371,,
6/18/21,14:30,13,North,Count,Y (5),141,0.383,,
6/18/21,14:30,13,North,Count,Y (5),142,0.342,,
6/18/21,14:30,13,North,Count,Y (5),143,0.414,,
6/18/21,14:30,13,North,Count,Y (5),144,0.335,,
6/18/21,14:30,13,North,Count,Y (5),145,0.334,,
6/18/21,14:30,13,North,Count,Y (5),146,0.296,,
6/18/21,14:30,13,North,Count,Y (5),147,0.308,,
6/18/21,14:30,13,North,Count,Y (5),148,0.339,,
6/18/21,14:30,13,North,Count,Y (5),149,0.325,,
6/18/21,14:30,13,North,Count,Y (5),150,0.423,,
6/18/21,14:30,13,North,Count,Y (5),151,0.412,,
6/18/21,14:30,13,North,Count,Y (5),152,0.361,,
6/18/21,14:30,13,North,Count,Y (5),153,0.282,,
6/18/21,14:30,13,North,Count,Y (5),154,0.394,,
6/18/21,14:30,13,North,Count,Y (5),155,0.298,,
6/18/21,14:30,13,North,Count,Y (5),156,0.309,,
6/18/21,14:30,13,North,Count,Y (5),157,0.380,,
6/18/21,14:30,13,North,Count,Y (5),158,0.327,,
6/18/21,14:30,13,North,Count,Y (5),159,0.404,,
6/18/21,14:30,13,North,Count,Y (5),160,0.468,,
6/18/21,14:30,13,North,Count,Y (5),161,0.384,,
6/18/21,14:30,13,North,Count,Y (5),162,0.365,,
6/18/21,14:30,13,North,Count,Y (5),163,0.425,,
6/18/21,14:30,13,North,Count,Y (5),164,0.321,,
6/18/21,14:30,13,North,Count,Y (5),165,0.338,,
6/18/21,14:30,13,North,Count,Y (5),166,0.308,,
6/18/21,14:30,13,North,Count,Y (5),167,0.328,,
6/18/21,14:30,13,North,Count,Y (5),168,0.391,,
6/18/21,14:30,13,North,Count,Y (5),169,0.407,,
6/18/21,14:30,13,North,Count,Y (5),170,0.377,,
6/18/21,14:30,13,North,Count,Y (5),171,0.391,,
6/18/21,14:30,13,North,Count,Y (5),172,0.452,,
6/18/21,14:30,13,North,Count,Y (5),173,0.398,,
6/18/21,14:30,13,North,Count,Y (5),174,0.493,,
6/18/21,14:30,13,North,Count,Y (5),175,0.337,,
6/18/21,14:30,13,North,Count,Y (5),176,0.400,,
6/18/21,14:30,13,North,Count,Y (5),177,0.387,,
