Date,Time,Pond,Hydroperiod,Pond_Section,Sampling_Device,Opening_Area,Sample_Length,Net_Depth,Sample_Volume,Number_FS,Picture,Picture_File_Names,Salamanders_Present,Notes,
6/17/21,11:25,8,Semi-permanent,West(2),ZP Net ,0.058,8,Entire,0.464,16,N,NA,Y,Small holes at bottom of ZP Net,
6/17/21,11:25,8,Semi-permanent,North,VD,0.009,0.37,Entire,0.003,0,N,NA,Y,Fewer pond sections than in future,
6/17/21,11:25,8,Semi-permanent,East,ZP Net ,0.058,8,Entire,0.464,0,N,NA,Y,,
6/17/21,11:25,8,Semi-permanent,South,ZP Net ,0.058,7,Entire,0.406,0,N,NA,Y,,
6/17/21,12:00,16,Temporary,West,ZP Net ,0.058,3,Entire,0.174,0,N,NA,N,,
6/17/21,12:00,16,Temporary,North,Not sampled,Not sampled,Not sampled,Entire,Not sampled,Not sampled,Not sampled,Not sampled,Not sampled,,
6/17/21,12:00,16,Temporary,East,ZP Net ,0.058,3,Entire,0.174,0,N,NA,N,,
6/17/21,12:00,16,Temporary,South,ZP Net ,0.058,3,Entire,0.174,0,N,NA,N,,
6/18/21,11:15,8,Semi-permanent,West,ZP Net ,0.058,8,Entire,0.464,0,N,NA,Y,ZP Net holes sewn,
6/18/21,11:15,8,Semi-permanent,West(2),ZP Net ,0.058,8,Entire,0.464,1,Y,061821_8_West(2)_01.JPG,Y,Written date wrong in all photos today (says 6/17),
6/18/21,11:15,8,Semi-permanent,West(3),ZP Net ,0.058,8,Entire,0.464,0,N,NA,Y,,
6/18/21,11:15,8,Semi-permanent,East,ZP Net ,0.058,8,Entire,0.464,0,N,NA,Y,,
6/18/21,11:15,8,Semi-permanent,East(2),ZP Net ,0.058,8,Entire,0.464,9,Y,061821_8_East(2)_01.JPG,Y,One FS in North photo,
6/18/21,11:15,8,Semi-permanent,East(3),ZP Net ,0.058,8,Entire,0.464,0,N,NA,Y,,
6/18/21,11:15,8,Semi-permanent,North,ZP Net ,0.058,8,Entire,0.464,1,Y,061821_8_North_01.JPG,Y,Second smaller FS belongs to East(2),
6/18/21,11:15,8,Semi-permanent,South,Not sampled,Not sampled,Not sampled,Entire,Not sampled,Not sampled,Not sampled,Not sampled,Not sampled,,
6/18/21,13:40,11,Semi-permanent,East,D Net,0.065,1,Entire,0.065,1,Y,061821_11_East_01.JPG,N,,
6/18/21,13:40,11,Semi-permanent,East(2),ZP Net ,0.058,8,Entire,0.464,16,Y,061821_11_East(2)_01.JPG,N,,
6/18/21,13:40,11,Semi-permanent,South,D Net,0.065,2,Entire,0.130,2,Y,061821_11_South_01.JPG,N,,
6/18/21,13:40,11,Semi-permanent,West,D Net,0.065,3,Entire,0.195,4,Y,061821_11_West_01.JPG,N,,
