FS_ID,Boat_ID,Boat_Empty,Units_Empty,Boat_Full,Units_Full,Boat_Net,Length_cm,Picture,Sex,Notes
1,107,132.202,mg,137.587,mg,5.385,1.27,Y,M,
2,49,84.644,mg,86.636,mg,1.992,0.73,Y,M,
3,85,73.755,mg,73.965,mg,0.21,0.38,Y,,
4,144,78.762,mg,78.876,mg,0.114,0.26,Y,,
5,86,73.548,mg,79.243,mg,5.695,1.15,Y,F,
6,112,100.403,mg,102.402,mg,1.999,0.73,Y,M,
7,128,91.716,mg,96.969,mg,5.253,0.98,Y,F,
8,101,71.178,mg,75.274,mg,4.096,1.22,Y,M,
9,127,97.011,mg,103.7,mg,6.689,1.04,Y,F,
10,136,95.35,mg,95.795,mg,0.445,0.47,Y,M,
11,98,75.059,mg,76.797,mg,1.738,0.8,Y,M,
12,4,87.116,mg,92.092,mg,4.976,1.01,Y,M,
13,83,84.523,mg,86.073,mg,1.55,0.74,Y,M,
14,114,99.789,mg,106.188,mg,6.399,1.02,Y,F,
15,23,71.608,mg,73.785,mg,2.177,0.68,Y,M,
16,9,72.986,mg,73.524,mg,0.538,0.43,Y,,no tail
17,72,67.881,mg,68.229,mg,0.348,0.32,Y,,
18,109,88.803,mg,90.805,mg,2.002,0.67,Y,M,
19,122,97.742,mg,99.361,mg,1.619,0.53,Y,F,
20,53,66.254,mg,71.482,mg,5.228,0.88,Y,F,
21,63,75.14,mg,75.503,mg,0.363,0.35,Y,,
22,137,91.771,mg,93.662,mg,1.891,0.65,Y,M,
23,146,78.375,mg,82.934,mg,4.559,1.26,Y,M,
24,106,90.706,mg,91.134,mg,0.428,0.37,Y,,
25,73,80.051,mg,81.771,mg,1.72,0.57,Y,M,
26,115,135.285,mg,141.678,mg,6.393,0.97,Y,M,
27,77,91.987,mg,94.195,mg,2.208,0.7,Y,F,
28,26,69.116,mg,69.38,mg,0.264,0.31,Y,,
29,12,80.508,mg,80.702,mg,0.194,0.32,Y,,
30,28,64.731,mg,65.324,mg,0.593,0.47,Y,M,
31,60,78.92,mg,81.038,mg,2.118,0.65,Y,M,
32,133,139.13,mg,143.794,mg,4.664,1.05,Y,M,
33,30,72.818,mg,74.591,mg,1.773,0.72,Y,M,
34,7,74.638,mg,76.735,mg,2.097,0.64,Y,,
35,142,84.606,mg,89.959,mg,5.353,1.18,Y,F,
36,11,78.465,mg,79.974,mg,1.509,0.74,Y,M,
37,67,80.081,mg,80.382,mg,0.301,0.24,Y,,
38,58,77.751,mg,78.143,mg,0.392,0.41,Y,M,
39,13,70.204,mg,72.154,mg,1.95,0.76,Y,M,
40,117,105.719,mg,107.548,mg,1.829,0.79,Y,M,
41,75,94.128,mg,96.063,mg,1.935,0.57,Y,F,
42,121,98.589,mg,100.439,mg,1.85,0.72,Y,M,
43,16,79.558,mg,81.733,mg,2.175,0.66,Y,F,
44,81,93.388,mg,98.864,mg,5.476,0.91,Y,F,
45,132,124.464,mg,130.901,mg,6.437,1.16,Y,M,
46,34,77.916,mg,78.124,mg,0.208,0.25,Y,,
47,66,87.136,mg,87.389,mg,0.253,0.31,Y,,
48,51,81.319,mg,83.081,mg,1.762,0.62,Y,F,Hard to tell where abdomen ends 
49,110,141.136,mg,145.891,mg,4.755,1.08,Y,M,
50,82,94.339,mg,96.215,mg,1.876,0.76,Y,M,
51,84,89.777,mg,90.513,mg,0.736,0.48,Y,,
52,126,112.867,mg,115.006,mg,2.139,0.7,Y,M,
53,135,114.688,mg,120.091,mg,5.403,1.09,Y,M,
54,145,89.432,mg,89.85,mg,0.418,0.39,Y,,
55,87,84.765,mg,91.615,mg,6.85,0.95,Y,M,
56,140,90.406,mg,92.417,mg,2.011,0.76,Y,M,
57,29,71.526,mg,71.78,mg,0.254,0.32,Y,,
58,37,93.202,mg,95.119,mg,1.917,0.59,Y,F,
59,134,131.476,mg,136.783,mg,5.307,1.16,Y,M,
60,25,59.082,mg,59.486,mg,0.404,0.12,Y,,
61,41,75.544,mg,76.241,mg,0.697,0.42,Y,,
62,143,83.158,mg,83.644,mg,0.486,0.4,Y,,
63,71,89.663,mg,93.569,mg,3.906,0.94,Y,M,
64,105,87.883,mg,89.614,mg,1.731,0.59,Y,F,Hard to tell where abdomen ends 
65,100,81.316,mg,81.621,mg,0.305,0.23,Y,,
66,116,97.754,mg,99.561,mg,1.807,0.75,Y,M,
67,70,68.602,mg,68.955,mg,0.353,0.28,Y,,
68,147,92.87,mg,94.616,mg,1.746,0.8,Y,M,
69,33,78.993,mg,79.543,mg,0.55,0.41,Y,,
70,78,96.818,mg,101.763,mg,4.945,1.05,Y,M,
71,35,70.351,mg,72.205,mg,1.854,0.83,Y,M,
72,21,70.511,mg,70.873,mg,0.362,0.23,Y,,
73,90,90.457,mg,91.075,mg,0.618,0.45,Y,,
74,20,79.78,mg,83.074,mg,3.294,0.92,Y,M,
75,79,79.163,mg,79.824,mg,0.661,0.44,Y,,
76,119,137.523,mg,142.583,mg,5.06,1.19,Y,M,
77,57,70.067,mg,70.773,mg,0.706,0.47,Y,M,
78,80,78.947,mg,79.333,mg,0.386,0.34,Y,,
79,46,91.551,mg,93.482,mg,1.931,0.62,Y,F,
80,15,60.971,mg,62.674,mg,1.703,0.55,Y,M,
81,102,71.982,mg,72.606,mg,0.624,0.46,Y,,
82,123,97.187,mg,99.006,mg,1.819,0.77,Y,F,
83,8,72.801,mg,74.507,mg,1.706,0.49,Y,F,
84,124,128.373,mg,134.313,mg,5.94,1.04,Y,M,
85,94,88.615,mg,89.058,mg,0.443,0.41,Y,,short tail
86,69,74.886,mg,75.14,mg,0.254,0.29,Y,,
87,138,96.521,mg,99.986,mg,3.465,0.81,Y,M,
88,45,81.432,mg,83.565,mg,2.133,0.71,Y,F,Hard to tell where abdomen ends 
89,59,69.761,mg,69.898,mg,0.137,0.28,Y,,
90,118,86.595,mg,86.806,mg,0.211,0.39,Y,,
91,93,95.362,mg,95.593,mg,0.231,0.22,Y,,
92,2,76.923,mg,77.396,mg,0.473,0.39,Y,,
93,65,72.187,mg,72.431,mg,0.244,0.25,Y,,
94,76,72.764,mg,73.179,mg,0.415,0.33,Y,,
95,103,97.433,mg,99.021,mg,1.588,0.7,Y,F,
96,24,67.912,mg,68.222,mg,0.31,0.31,Y,,
97,50,76.692,mg,76.049,mg,-0.643,0.24,Y,,full tin weight less than empty
98,61,80.224,mg,80.53,mg,0.306,0.28,Y,,
99,3,86.274,mg,87.771,mg,1.497,0.63,Y,F,Hard to tell where abdomen ends 
100,139,100.399,mg,100.459,mg,0.06,0.23,Y,,
101,141,101.201,mg,107.556,mg,6.355,0.95,Y,M,
102,56,69.381,mg,69.581,mg,0.2,0.22,Y,,
103,131,96.148,mg,97.901,mg,1.753,0.76,Y,M,
104,14,69.169,mg,69.417,mg,0.248,0.36,Y,,
105,99,91.648,mg,94.858,mg,3.21,0.91,Y,M,
106,27,73.918,mg,74.172,mg,0.254,0.34,Y,,
107,5,67.35,mg,67.694,mg,0.344,0.33,Y,,
108,10,82.118,mg,82.289,mg,0.171,0.27,Y,,
109,113,114.301,mg,118.827,mg,4.526,1.22,Y,M,
110,17,81.169,mg,81.554,mg,0.385,0.5,Y,,
111,68,75.392,mg,75.637,mg,0.245,0.27,Y,,
112,36,84.289,mg,84.556,mg,0.267,0.34,Y,,
113,42,89.847,mg,91.628,mg,1.781,0.7,Y,M,
114,97,98.771,mg,99.007,mg,0.236,0.32,Y,,
115,88,71.851,mg,72.145,mg,0.294,0.29,Y,,
116,47,79.416,mg,81.21,mg,1.794,0.6,Y,F,
117,95,79.688,mg,79.959,mg,0.271,0.31,Y,,
118,108,101.636,mg,102.154,mg,0.518,0.45,Y,,
119,39,69.953,mg,70.093,mg,0.14,0.25,Y,,
120,43,84.211,mg,84.682,mg,0.471,0.28,Y,,
121,74,80.964,mg,83.355,mg,2.391,0.71,Y,M,
122,19,58.791,mg,59.047,mg,0.256,0.27,Y,,
123,91,73.294,mg,74.867,mg,1.573,0.47,Y,F,
124,89,90.351,mg,92.461,mg,2.11,0.67,Y,F,Hard to tell where abdomen ends 
125,6,85.165,mg,85.571,mg,0.406,0.26,Y,,
126,111,94.267,mg,96.095,mg,1.828,0.68,Y,F,Hard to tell where abdomen ends 
127,120,115.151,mg,117.025,mg,1.874,0.57,Y,F,
128,22,65.013,mg,65.391,mg,0.378,0.3,Y,,no tail
129,125,124.614,mg,126.005,mg,1.391,0.66,Y,F,
130,1,76.016,mg,76.286,mg,0.27,0.26,Y,,
131,44,75.527,mg,77.515,mg,1.988,0.61,Y,F,
132,54,78.886,mg,79.113,mg,0.227,0.26,Y,,
133,31,65.055,mg,65.324,mg,0.269,0.25,Y,,no tail
134,18,67.115,mg,68.508,mg,1.393,0.59,Y,F,
135,40,73.102,mg,73.421,mg,0.319,0.31,Y,,no tail
136,48,80.571,mg,82.079,mg,1.508,0.72,Y,F,
137,64,78.936,mg,80.355,mg,1.419,0.57,Y,F,
138,130,96.98,mg,101.98,mg,5,1.15,Y,M,
139,38,79.914,mg,80.185,mg,0.271,0.35,Y,,no tail
140,96,102.476,mg,104.414,mg,1.938,0.73,Y,M,
141,55,83.796,mg,85.578,mg,1.782,0.61,Y,M,
142,62,80.062,mg,80.418,mg,0.356,0.37,Y,,
143,32,70.719,mg,72.529,mg,1.81,0.64,Y,F,
144,129,116.932,mg,121.541,mg,4.609,1.12,Y,M,
145,52,89.263,mg,89.669,mg,0.406,0.41,Y,M,
146,104,76.308,mg,76.635,mg,0.327,0.28,Y,,
147,92,75.017,mg,76.801,mg,1.784,0.67,Y,M,
