Date,Time,Treatment,Replicate,FS,Mosquito,Copepod,Asynarchus,Salamander_ID,Notes
7/12/22,11:05,PO,1,21,10,10,10,NA,~17 hrs after setup
7/12/22,11:11,PO,2,25,10,10,10,NA,1 mosquito = pupa
7/12/22,11:19,PO,3,20,9,9,10,NA,1 FS being eaten by Asynarchus; included in count. 1 mosquito = pupa
7/12/22,11:28,PO,4,22,10,10,10,NA,
7/12/22,11:33,PO,5,25,10,8,10,NA,2 mosquito = pupae
7/12/22,11:40,N FS,1,NA,0,3,10,982091066167345,
7/12/22,11:44,N FS,2,NA,2,3,10,982000365434890,
7/12/22,11:47,N FS,3,NA,1,7,7,982091066165252,Can see part of caddis body
7/12/22,11:51,N FS,4,NA,1,9,10,982000167212133,
7/12/22,11:56,N FS,5,NA,2,6,10,982000167212734,
7/12/22,12:00,L FS,1,0,0,2,10,982000365435045,
7/12/22,12:03,L FS,2,0,1,8,10,900118000002846,
7/12/22,12:07,L FS,3,0,2,9,8,982000365434928,1 mosquito = pupa
7/12/22,12:11,L FS,4,0,0,4,9,982091066167290,
7/12/22,12:14,L FS,5,0,2,8,8,900118000002910,1 mosquito = pupa
7/12/22,12:18,M FS,1,0,1,9,10,982000167194011,
7/12/22,12:21,M FS,2,0,1,8,10,982091066167332,
7/12/22,12:23,M FS,3,0,0,8,3,985170001800545,
7/12/22,12:29,M FS,4,0,5,8,10,982000167193199,
7/12/22,12:33,M FS,5,0,4,7,10,900118000002813,1 mosquito = pupa
7/12/22,12:37,H FS,1,0,3,8,5,985170002017106,
7/12/22,12:41,H FS,2,0,1,6,10,982091066165094,
7/12/22,12:47,H FS,3,0,0,6,10,982000167211706,
7/12/22,12:49,H FS,4,0,1,8,10,982000167194693,
7/12/22,12:52,H FS,5,0,2,5,7,982091066167278,
7/13/22,10:30,PO,1,16,10,10,10,NA,~41 hrs after setup
7/13/22,10:30,PO,2,18,10,10,10,NA,
7/13/22,11:00,PO,3,16,9,8,10,NA,
7/13/22,10:50,PO,4,19,10,10,9,NA,
7/13/22,10:30,PO,5,21,10,8,10,NA,
7/13/22,10:50,N FS,1,NA,0,3,7,982091066167345,
7/13/22,10:40,N FS,2,NA,0,2,10,982000365434890,
7/13/22,10:55,N FS,3,NA,1,2,7,982091066165252,
7/13/22,10:45,N FS,4,NA,0,4,10,982000167212133,
7/13/22,10:40,N FS,5,NA,0,6,10,982000167212734,
7/13/22,10:55,L FS,1,0,0,1,9,982000365435045,
7/13/22,10:45,L FS,2,0,0,8,10,900118000002846,
7/13/22,10:50,L FS,3,0,1,5,8,982000365434928,
7/13/22,10:40,L FS,4,0,0,4,9,982091066167290,
7/13/22,10:45,L FS,5,0,2,6,6,900118000002910,
7/13/22,11:00,M FS,1,0,0,9,5,982000167194011,
7/13/22,10:50,M FS,2,0,0,7,10,982091066167332,
7/13/22,10:45,M FS,3,0,0,8,2,985170001800545,
7/13/22,10:35,M FS,4,0,1,7,10,982000167193199,
7/13/22,10:45,M FS,5,0,4,7,10,900118000002813,
7/13/22,11:00,H FS,1,0,1,5,5,985170002017106,
7/13/22,10:55,H FS,2,0,0,0,10,982091066165094,
7/13/22,10:30,H FS,3,0,0,2,10,982000167211706,
7/13/22,10:30,H FS,4,0,1,8,10,982000167194693,
7/13/22,10:55,H FS,5,0,2,3,7,982091066167278,
XX,XX,XX,XX,XX,XX,XX,XX,XX,XX
