Date,Pond,Survey_Type,Pond_Section,Opening_Area_m2,Sample_Length_m,Sample_Volume_m3,Number_FS,Notes,
6/20/02,8,Fairy_Shrimp,Tow_1,0.058,5,0.29,132,,
6/20/02,8,Fairy_Shrimp,Tow_2,0.058,5,0.29,42,,
6/20/02,8,Fairy_Shrimp,Tow_3,0.058,5,0.29,135,,
6/20/02,8,Fairy_Shrimp,Tow_4,0.058,5,0.29,24,,
6/20/02,8,Fairy_Shrimp,Tow_5,0.058,5,0.29,126,,
6/20/02,8,Fairy_Shrimp,Tow_6,0.058,5,0.29,66,,
6/20/02,10,Fairy_Shrimp,Tow_1,0.058,5,0.29,2,,
6/20/02,10,Fairy_Shrimp,Tow_2,0.058,5,0.29,0,,
6/20/02,10,Fairy_Shrimp,Tow_3,0.058,5,0.29,2,,
6/20/02,10,Fairy_Shrimp,Tow_4,0.058,5,0.29,0,,
6/20/02,10,Fairy_Shrimp,Tow_5,0.058,5,0.29,1,,
6/20/02,10,Fairy_Shrimp,Tow_6,0.058,5,0.29,1,,
6/20/02,11,Fairy_Shrimp,Tow_1,0.058,5,0.29,42,,
6/20/02,11,Fairy_Shrimp,Tow_2,0.058,5,0.29,11,,
6/20/02,11,Fairy_Shrimp,Tow_3,0.058,5,0.29,5,,
6/20/02,11,Fairy_Shrimp,Tow_4,0.058,5,0.29,8,,
6/20/02,11,Fairy_Shrimp,Tow_5,0.058,5,0.29,13,,
6/20/02,11,Fairy_Shrimp,Tow_6,0.058,5,0.29,23,,
6/20/02,6,Fairy_Shrimp,Tow_1,0.058,5,0.29,0,,
6/20/02,6,Fairy_Shrimp,Tow_2,0.058,5,0.29,0,,
6/20/02,6,Fairy_Shrimp,Tow_3,0.058,5,0.29,0,,
6/20/02,6,Fairy_Shrimp,Tow_4,0.058,5,0.29,1,,
6/20/02,6,Fairy_Shrimp,Tow_5,0.058,5,0.29,0,,
6/20/02,6,Fairy_Shrimp,Tow_6,0.058,5,0.29,3,,
6/20/02,15,Fairy_Shrimp,Tow_1,0.058,5,0.29,164,,
6/20/02,15,Fairy_Shrimp,Tow_2,0.058,5,0.29,200,,
6/20/02,15,Fairy_Shrimp,Tow_3,0.058,5,0.29,223,,
6/20/02,15,Fairy_Shrimp,Tow_4,0.058,5,0.29,45,,
6/20/02,15,Fairy_Shrimp,Tow_5,0.058,5,0.29,105,,
6/20/02,15,Fairy_Shrimp,Tow_6,0.058,5,0.29,111,,
6/20/02,13,Fairy_Shrimp,Tow_1,0.058,5,0.29,1,,
6/20/02,13,Fairy_Shrimp,Tow_2,0.058,5,0.29,2,,
6/20/02,13,Fairy_Shrimp,Tow_3,0.058,5,0.29,1,,
6/20/02,13,Fairy_Shrimp,Tow_4,0.058,5,0.29,0,,
6/20/02,13,Fairy_Shrimp,Tow_5,0.058,5,0.29,1,,
6/20/02,13,Fairy_Shrimp,Tow_6,0.058,5,0.29,0,,
6/20/02,7,Fairy_Shrimp,Tow_1,0.058,5,0.29,0,,
6/20/02,7,Fairy_Shrimp,Tow_2,0.058,5,0.29,2,,
6/20/02,7,Fairy_Shrimp,Tow_3,0.058,5,0.29,4,,
6/20/02,7,Fairy_Shrimp,Tow_4,0.058,5,0.29,3,,
6/20/02,7,Fairy_Shrimp,Tow_5,0.058,5,0.29,1,,
6/20/02,7,Fairy_Shrimp,Tow_6,0.058,5,0.29,0,,
7/2/04,6,Fairy_Shrimp,N,0.058,8,0.464,0,,
7/2/04,6,Fairy_Shrimp,S,0.058,8,0.464,0,,
7/2/04,6,Fairy_Shrimp,E,0.058,8,0.464,0,,
7/2/04,6,Fairy_Shrimp,W,0.058,8,0.464,0,,
7/2/04,8,Fairy_Shrimp,N,0.058,8,0.464,7,,
7/2/04,8,Fairy_Shrimp,S,0.058,8,0.464,0,,
7/2/04,8,Fairy_Shrimp,E,0.058,8,0.464,0,,
7/2/04,8,Fairy_Shrimp,W,0.058,8,0.464,0,,
7/2/04,10,Fairy_Shrimp,N,0.058,8,0.464,0,,
7/2/04,10,Fairy_Shrimp,S,0.058,8,0.464,0,,
7/2/04,10,Fairy_Shrimp,E,0.058,8,0.464,0,,
7/2/04,10,Fairy_Shrimp,W,0.058,8,0.464,1,,
7/2/04,11,Fairy_Shrimp,N,0.058,8,0.464,0,,
7/2/04,11,Fairy_Shrimp,S,0.058,8,0.464,0,,
7/2/04,11,Fairy_Shrimp,E,0.058,8,0.464,5,,
7/2/04,11,Fairy_Shrimp,W,0.058,8,0.464,5,,
7/2/04,7,Fairy_Shrimp,N,0.065,1,0.065,0,,
7/2/04,7,Fairy_Shrimp,S,0.065,1,0.065,0,,
7/2/04,7,Fairy_Shrimp,E,0.065,1,0.065,2,,
7/2/04,7,Fairy_Shrimp,W,0.065,1,0.065,0,,
7/2/04,13,Fairy_Shrimp,N,0.065,1,0.065,4,,
7/2/04,13,Fairy_Shrimp,S,0.065,1,0.065,14,,
7/2/04,13,Fairy_Shrimp,E,0.065,1,0.065,14,,
7/2/04,13,Fairy_Shrimp,W,0.065,1,0.065,12,,
7/2/04,15,Fairy_Shrimp,N,0.065,1,0.065,3,,
7/2/04,15,Fairy_Shrimp,S,0.065,1,0.065,1,,
7/2/04,15,Fairy_Shrimp,E,0.065,1,0.065,0,,
7/2/04,15,Fairy_Shrimp,W,0.065,1,0.065,6,,
7/2/04,19,Fairy_Shrimp,N,0.065,1,0.065,0,,
7/2/04,19,Fairy_Shrimp,S,0.065,1,0.065,0,,
7/2/04,19,Fairy_Shrimp,E,0.065,1,0.065,0,,
7/2/04,19,Fairy_Shrimp,W,0.065,1,0.065,0,,
7/2/04,51,Fairy_Shrimp,N,0.065,1,0.065,0,,
7/2/04,51,Fairy_Shrimp,S,0.065,1,0.065,0,,
7/2/04,51,Fairy_Shrimp,E,0.065,1,0.065,0,,
7/2/04,51,Fairy_Shrimp,W,0.065,1,0.065,0,,
7/2/04,56,Fairy_Shrimp,N,0.065,1,0.065,0,,
7/2/04,56,Fairy_Shrimp,S,0.065,1,0.065,0,,
7/2/04,56,Fairy_Shrimp,E,0.065,1,0.065,0,,
7/2/04,56,Fairy_Shrimp,W,0.065,1,0.065,0,,
7/2/04,52,Fairy_Shrimp,N,0.065,1,0.065,6,,
7/2/04,52,Fairy_Shrimp,S,0.065,1,0.065,4,,
7/2/04,52,Fairy_Shrimp,E,0.065,1,0.065,0,,
7/2/04,52,Fairy_Shrimp,W,0.065,1,0.065,9,,
