Sample_ID,Year,Diet_Taxa,Diet_Taxa_ID,Notes
02,2021,Unknown_01,Chaoborus,These may be Chironomidae
02,2021,Unknown_02,Hydroporinae,
04,2021,Unknown_01,Chaoborus,
04,2021,Unknown_02,Fragment,
07,2021,Unknown_01,Chaoborus,
10,2021,Unknown_01,Hydroporinae,
10,2021,Unknown_02,Boatman,
10,2021,Unknown_03,Boatman,
11,2021,Unknown_01,Fragment,
11,2021,Unknown_02,Crambidae,Terrestrial catepillar?
11,2021,Unknown_03,Unknown,
14,2021,Unknown_01,Hymenoptera,
14,2021,Unknown_02,Fragment,
15,2021,Unknown_01,Boatman,
16,2021,Unknown_01,Hydroporinae,
16,2021,Unknown_02,Fragment,
19,2021,Unknown_01,Unknown,
20,2021,Aeshna spp?,Dragonfly,
20,2021,Unknown_01,Chironomidae ,
21,2021,Unknown_01,Unknown,
21,2021,Unknown_02,Fragment,
22,2021,Ant?,Unknown,
22,2021,Unknown_01,Boatman,
22,2021,Unknown_02,Hydroporinae,
23,2021,Unknown_01,Fragment,
23,2021,Unknown_02,Unknown,
24,2021,Unknown_01,Fragment,
24,2021,Unknown_02,Chironomidae ,
24,2021,Unknown_03,Fragment,
25,2021,Unknown_01,Unknown,
25,2021,Unknown_02,Chironomidae ,
25,2021,Unknown_03,Chironomidae ,
25,2021,Unknown_04,Chironomidae ,
25,2021,Unknown_05,Beetle,
25,2021,Unknown_06,Hydroporinae,
26,2021,Unknown_01,Beetle,
27,2021,Unknown_01,Boatman,
28,2021,Unknown_01,Boatman,
29,2021,Unknown_01,Boatman,
30,2021,Unknown_01,Unknown,
32,2021,Unknown_01,Spider,
32,2021,Unknown_02,Caddisfly,
34,2021,Unknown_01,Beetle,
34,2021,Unknown_02,Hemipteran,
34,2021,Unknown_03,Boatman,
35,2021,Unknown_01,Hydroporinae,
35,2021,Unknown_02,Beetle,
36,2021,Unknown_01,Beetle,
37,2021,Unknown_01,Beetle,
37,2021,Unknown_02,Beetle,
37,2021,Unknown_03,Beetle,
38,2021,Unknown_01,Beetle,
38,2021,Unknown_02,Hymenoptera,
38,2021,Unknown_03,Fragment,
39,2021,Unknown_01,Unknown,
40,2021,Unknown_01,Beetle,
41,2021,Unknown_01,Boatman,
41,2021,Unknown_02,Unknown,
42,2021,Unknown_01,Boatman,
43,2021,Unknown_01,Boatman,
44,2021,Ant?,Hymenoptera,
46,2021,Unknown_01,Boatman,
47,2021,Unknown_01,Chaoborus,
48,2021,Unknown_01,Hydroporinae,
48,2021,Unknown_02,Boatman,
49,2021,Unknown_01,Hydroporinae,
49,2021,Unknown_02,Hemipteran,
49,2021,Unknown_03,Chironomidae ,
51,2021,Unknown_01,Crambidae,
51,2021,Unknown_02,Hydroporinae,
51,2021,Unknown_03,Unknown,
52,2021,Unknown_01,Hymenoptera,
52,2021,Unknown_02,Beetle,
56,2021,Unknown_01,Moth,
57,2021,Boatman?,Boatman,
58,2021,Boatman?,Boatman,
58,2021,Unknown_01,Caddisfly,
58,2021,Unknown_02,Fragment,
58,2021,Unknown_03,Moth,
58,2021,Unknown_04,Boatman,
59,2021,Boatman?,Boatman,
59,2021,Daphnia?,Daphnia,
59,2021,Unknown_01,Unknown,
60,2021,Boatman?,Boatman,
60,2021,Unknown_01,Unknown,
60,2021,Unknown_02,Crambidae,
60,2021,Unknown_03,Caddisfly,
61,2021,Unknown_01,Caddisfly,
61,2021,Unknown_02,Boatman,
61,2021,Unknown_03,Chaoborus,
62,2021,Boatman?,Boatman,
62,2021,Daphnia?,Daphnia,
14,2022,Unknown_01,Unknown,
