Year,Boat_ID,Boat_size,Sample_ID,Diet_Taxa,Boat_Empty,Units_Empty,Boat_Full,Units_Full,Notes
2021,45,M,1,Debirs,1.01239,g,1.12236,g,
2021,106,L,1,Fairy_Shrimp,2.35874,g,2.61557,g,
2021,"""023""",S,1,Asynarchus,119.5,mg,146.466,mg,
2021,108,S,1,Hydroporinae,69.103,mg,69.31,mg,
2021,763,XS,1,Copepod,17.646,mg,17.703,mg,
2021,79,M,2,Debirs,1.00607,g,1.16306,g,
2021,111,L,2,Fairy_Shrimp,2.2484,g,2.68144,g,
2021,73,S,2,Unknown_02,46.591,mg,47.073,mg,
2021,109,S,2,Unknown_01,69.623,mg,71.089,mg,
2021,579,XS,2,Copepod,27.729,mg,27.762,mg,
2021,78,M,3,Fairy_Shrimp,1.01852,g,1.15289,g,
2021,560,XS,3,Copepod,25.64,mg,25.645,mg,
2021,110,L,4,Fairy_Shrimp,2.2287,g,2.61719,g,
2021,68,S,4,Unknown_02,74.513,mg,74.782,mg,
2021,572,XS,4,Copepod,14.48,mg,14.558,mg,
2021,878,XS,4,Unknown_01,23.42,mg,24.375,mg,
2021,76,M,5,Debirs,1.01994,g,1.16,g,
2021,108,L,5,Fairy_Shrimp,2.22912,g,2.76236,g,
2021,890,XS,5,Copepod,158.574,mg,42.256,mg,Empty tin weight must have been wrong… tried taking copepods out but didn't work (> 42.256 mg)
2021,46,M,6,Fairy_Shrimp,1.00593,g,1.07371,g,
2021,779,XS,6,Copepod,26.653,mg,27.12,mg,
2021,10,M,7,Debirs,1.05413,g,1.12316,g,"for larger microbalance in grams, all five decimal places are not relaible and repeatable when weighing the same tin multiple times. Focus on first 3 decimal places."
2021,74,M,7,Fairy_Shrimp,1.02128,g,1.32271,g,
2021,119,S,7,Unknown_01,83.131,mg,84.097,mg,
2021,177,XS,7,Copepod,22.087,mg,22.146,mg,
2021,107,L,8,Fairy_Shrimp,2.23051,g,2.55231,g,
2021,659,XS,8,Copepod,24.08,mg,24.091,mg,
2021,58,M,9,Debirs,1.01861,g,1.13401,g,
2021,109,L,9,Fairy_Shrimp,2.25569,g,2.65362,g,
2021,59,XS,9,Copepod,20.402,mg,20.426,mg,Lower than before weight 
2021,48,M,10,Fairy_Shrimp,1.01983,g,1.33834,g,
2021,77,M,10,Debirs,1.01477,g,1.096,g,
2021,43,S,10,Unknown_01,97.587,mg,100.646,mg,
2021,672,XS,10,Unknown_02,13.344,mg,13.456,mg,
2021,871,XS,10,Unknown_03,15.909,mg,15.986,mg,
