Year	Date_Lab	Date_Sample	Sample_ID	Salamander_ID	Pond	Diet_Taxa	Count	Biomass	Notes
2021	7/26/21	7/12/21	01	597	52	Fairy_Shrimp	184	Y	
2021	7/26/21	7/12/21	01	597	52	Asynarchus	2	Y	
2021	7/26/21	7/12/21	01	597	52	Hydroporinae	1	Y	Larva; bettle spp.
2021	7/26/21	7/12/21	01	597	52	Copepod	1	Y	
2021	7/26/21	7/12/21	01	597	52	Fairy_Shrimp_eggs	P	NA	Part of Organic Debris vial
2021	7/26/21	7/12/21	01	597	52	Needles	4	N	
2021	7/26/21	7/12/21	01	597	52	Organic_Debris	NA	Y	mostly FS parts 
2021	7/31/21	7/12/21	02	2304A	52	Fairy_Shrimp	278	Y	
2021	7/31/21	7/12/21	02	2304A	52	Fairy_Shrimp_eggs	P	NA	
2021	7/31/21	7/12/21	02	2304A	52	Copepod	2	Y	
2021	7/31/21	7/12/21	02	2304A	52	Unknown_01	2	Y	
2021	7/31/21	7/12/21	02	2304A	52	Unknown_02	1	Y	
2021	7/31/21	7/12/21	02	2304A	52	Organic_Debris	NA	Y	Mostly FS parts 
2021	7/31/21	7/12/21	03	982000365435014	52	Fairy_Shrimp	101	Y	
2021	7/31/21	7/12/21	03	982000365435014	52	Fairy_Shrimp_eggs	P	NA	
2021	7/31/21	7/12/21	03	982000365435014	52	Copepod	2	Y	
2021	7/31/21	7/12/21	04	122A	52	Fairy_Shrimp	256	Y	
2021	7/31/21	7/12/21	04	122A	52	Fairy_Shrimp_eggs	P	NA	
2021	7/31/21	7/12/21	04	122A	52	Unknown_01	1	Y	same as Unk. 01 in sample 7
2021	7/31/21	7/12/21	04	122A	52	Unknown_02	1	Y	
2021	7/31/21	7/12/21	04	122A	52	Copepod	2	Y	
2021	7/30/21	7/12/21	05	9898	52	Fairy_Shrimp	352	Y	
2021	7/30/21	7/12/21	05	9898	52	Fairy_Shrimp_eggs	P	NA	
2021	7/30/21	7/12/21	05	9898	52	Copepod	3	Y	
2021	7/30/21	7/12/21	05	9898	52	Needles	6	N	
2021	7/30/21	7/12/21	05	9898	52	Organic_Debris	NA	Y	Mostly FS parts 
2021	7/28/21	7/12/21	06	985170001736603	52	Fairy_Shrimp	47	Y	
2021	7/28/21	7/12/21	06	985170001736603	52	Copepod	9	Y	
2021	7/28/21	7/12/21	06	985170001736603	52	Fairy_Shrimp_eggs	P	NA	
2021	7/28/21	7/12/21	07	4358642219	52	Fairy_Shrimp	208	Y	
2021	7/28/21	7/12/21	07	4358642219	52	Fairy_Shrimp_eggs	P	NA	
2021	7/28/21	7/12/21	07	4358642219	52	Copepod	2	Y	
2021	7/28/21	7/12/21	07	4358642219	52	Unknown_01	1	Y	see photo
2021	7/28/21	7/12/21	07	4358642219	52	Organic_Debris	NA	Y	mostly FS parts 
2021	7/29/21	7/12/21	08	702D	52	Fairy_Shrimp	222	Y	
2021	7/29/21	7/12/21	08	702D	52	Fairy_Shrimp_eggs	P	NA	
2021	7/29/21	7/12/21	08	702D	52	Copepod	2	Y	
2021	7/31/21	7/12/21	09	982000167208175	52	Fairy_Shrimp	262	Y	
2021	7/31/21	7/12/21	09	982000167208175	52	Fairy_Shrimp_eggs	P	NA	
2021	7/31/21	7/12/21	09	982000167208175	52	Copepod	2	Y	
2021	7/31/21	7/12/21	09	982000167208175	52	Organic_Debris	NA	Y	
2021	7/30/21	7/12/21	10	982000167212269	51	Fairy_Shrimp	172	Y	
2021	7/30/21	7/12/21	10	982000167212269	51	Fairy_Shrimp_eggs	P	NA	
2021	7/30/21	7/12/21	10	982000167212269	51	Unknown_01	4	Y	
2021	7/30/21	7/12/21	10	982000167212269	51	Unknown_02	1	Y	
2021	7/30/21	7/12/21	10	982000167212269	51	Unknown_03	1	Y	
2021	7/30/21	7/12/21	10	982000167212269	51	Organic_Debris	NA	Y	Mostly FS parts 
2021	7/29/21	7/12/21	11	982000167211662	15	Fairy_Shrimp	77	Y	
2021	7/29/21	7/12/21	11	982000167211662	15	Fairy_Shrimp_eggs	P	NA	
2021	7/29/21	7/12/21	11	982000167211662	15	Copepod	17	Y	
2021	7/29/21	7/12/21	11	982000167211662	15	Unknown_01	1	Y	
2021	7/29/21	7/12/21	11	982000167211662	15	Unknown_02	1	Y	
2021	7/29/21	7/12/21	11	982000167211662	15	Unknown_03	1	Y	
2021	7/31/21	7/12/21	12	900118000003084	13	Fairy_Shrimp	47	Y	
2021	7/31/21	7/12/21	13	982000167201639	13	Fairy_Shrimp	51	Y	
2021	7/31/21	7/12/21	14	900118000002890	11	Copepod	51	Y	
2021	7/31/21	7/12/21	14	900118000002890	11	Fairy_Shrimp	5	Y	
2021	7/31/21	7/12/21	14	900118000002890	11	Needles	6	N	
2021	7/31/21	7/12/21	14	900118000002890	11	Unknown_01	1	Y	
2021	7/31/21	7/12/21	14	900118000002890	11	Unknown_02	2?	Y	"4 wing pieces, hard to tell how many individuals "
2021	7/30/21	7/12/21	15	71B	11	Copepod	102	Y	
2021	7/30/21	7/12/21	15	71B	11	Unknown_01	1	Y	
2021	7/30/21	7/12/21	15	71B	11	Fairy_Shrimp	3	Y	
2021	7/31/21	7/12/21	16	985170001765443	11	Copepod	75	Y	
2021	7/31/21	7/12/21	16	985170001765443	11	Needles	3	N	
2021	7/31/21	7/12/21	16	985170001765443	11	Unknown_01	1	Y	
2021	7/31/21	7/12/21	16	985170001765443	11	Unknown_02	1?	Y	2 wing pieces 
2021	7/31/21	7/12/21	17	982000365435107	11	Copepod	16	Y	
2021	7/31/21	7/12/21	17	982000365435107	11	Needles	7	N	
2021	7/31/21	7/12/21	17	982000365435107	11	Fairy_Shrimp	2	Y	
2021	7/29/21	7/12/21	18	985170001764252	11	Fairy_Shrimp	7	Y	
2021	7/29/21	7/12/21	18	985170001764252	11	Fairy_Shrimp_eggs	P	NA	
2021	7/29/21	7/12/21	18	985170001764252	11	Copepod	19	Y	
2021	7/31/21	7/12/21	19	1370	11	Fairy_Shrimp	1	Y	
2021	7/31/21	7/12/21	19	1370	11	Needles	1	N	
2021	7/31/21	7/12/21	19	1370	11	Unknown_01	1	Y	Is it even an animal??
2021	7/31/21	7/12/21	20	982000167212734	6	Aeshna spp?	2	Y	see photo
2021	7/31/21	7/12/21	20	982000167212734	6	Unknown_01	1	Y	
2021	7/31/21	7/12/21	20	982000167212734	6	Needles	2	N	
