,ID,INDIV_ID,DATEOFYEAR,SEASONDAY,RECAPTURE,Pond,MORPH,COHORT,SEX,CLIP,SVL,TOTAL,WEIGHT,CONDITION,CLOACA,GILL,COMMENT,Date_Sample_FS,FS_Density_Pond,log_FS_Density_Pond,SE_Density,lower_density,upper_density,FS_Biomass_Pond_m3,log_FS_Biomass_Pond_m3,SE_Biomass,lower_biomass,upper_biomass,Biomass_Per_FS_Pond,SE_Indiv,lower_indiv,upper_indiv,Week,Hydroperiod,FS_Biomass_Max_Pond,FS_Biomass_Mode_Pond
1,52490,900118000002982,6/21/21,8,yes,8,Meta,2011,Female,NA,90,161,17970,not fat,sw,,1+10; deformed jaw - underbite on left side; Amy chytrid swab,6/18/21,3.386699507,1.478577124,0.428168251,1.050408873,1.906745374,2.032038779,1.109235258,0.356611782,0.752623476,1.465847039,0.288233699,0.151248522,0.136985177,0.43948222,25,Semi-permanent,1.327878575,0
2,52338,985170001696220,6/18/21,5,yes,8,Meta,NA,Female,NA,87,156,17570,not fat,sw,,,6/18/21,3.386699507,1.478577124,0.428168251,1.050408873,1.906745374,2.032038779,1.109235258,0.356611782,0.752623476,1.465847039,0.288233699,0.151248522,0.136985177,0.43948222,25,Semi-permanent,1.327878575,0
3,52337,210B,6/18/21,5,yes,8,Meta,2001,Female,210,96,178,25870,sl fat,sw,,4+7,6/18/21,3.386699507,1.478577124,0.428168251,1.050408873,1.906745374,2.032038779,1.109235258,0.356611782,0.752623476,1.465847039,0.288233699,0.151248522,0.136985177,0.43948222,25,Semi-permanent,1.327878575,0
4,52336,1492,6/18/21,5,yes,8,Meta,2007,Male,1492,96,194,24950,not fat,not sw,,Short X thousands toe,6/18/21,3.386699507,1.478577124,0.428168251,1.050408873,1.906745374,2.032038779,1.109235258,0.356611782,0.752623476,1.465847039,0.288233699,0.151248522,0.136985177,0.43948222,25,Semi-permanent,1.327878575,0
5,52335,3100,6/18/21,5,yes,8,Meta,2001,Male,3100,104,198,24050,not fat,sw,,4+7,6/18/21,3.386699507,1.478577124,0.428168251,1.050408873,1.906745374,2.032038779,1.109235258,0.356611782,0.752623476,1.465847039,0.288233699,0.151248522,0.136985177,0.43948222,25,Semi-permanent,1.327878575,0
6,52334,434D432441,6/18/21,5,yes,8,Meta,2008,Male,NA,95,188,24470,sl fat,sw,,1+7,6/18/21,3.386699507,1.478577124,0.428168251,1.050408873,1.906745374,2.032038779,1.109235258,0.356611782,0.752623476,1.465847039,0.288233699,0.151248522,0.136985177,0.43948222,25,Semi-permanent,1.327878575,0
7,52342,1170A,6/18/21,5,yes,8,Meta,2001,Male,1170,92,179,20770,sl fat,sw,,4+7,6/18/21,3.386699507,1.478577124,0.428168251,1.050408873,1.906745374,2.032038779,1.109235258,0.356611782,0.752623476,1.465847039,0.288233699,0.151248522,0.136985177,0.43948222,25,Semi-permanent,1.327878575,0
8,52341,8717,6/18/21,5,yes,8,Meta,NA,Male,8717,96,177,22500,sl fat,sw,,Bumps on end of tail,6/18/21,3.386699507,1.478577124,0.428168251,1.050408873,1.906745374,2.032038779,1.109235258,0.356611782,0.752623476,1.465847039,0.288233699,0.151248522,0.136985177,0.43948222,25,Semi-permanent,1.327878575,0
9,52340,900118000002866,6/18/21,5,yes,8,Meta,2009,Female,NA,92,172,22060,not fat,sl sw,,2+7; looks like an oreo blizzard,6/18/21,3.386699507,1.478577124,0.428168251,1.050408873,1.906745374,2.032038779,1.109235258,0.356611782,0.752623476,1.465847039,0.288233699,0.151248522,0.136985177,0.43948222,25,Semi-permanent,1.327878575,0
10,52343,985170001717943,6/18/21,5,no,8,Meta,NA,Female,NA,92,156,20620,sl fat,sl sw,,Might be regenerating right forelimb,6/18/21,3.386699507,1.478577124,0.428168251,1.050408873,1.906745374,2.032038779,1.109235258,0.356611782,0.752623476,1.465847039,0.288233699,0.151248522,0.136985177,0.43948222,25,Semi-permanent,1.327878575,0
