"","Salamander_ID","Pond","Sample_ID","Year","Sample_ID_Year","Date_Sample_GF","Boat_Net","log_Boat_Net"
"1","24B","10",26,"2021","26_2021",2021-07-12,1.78,1.02245092770255
"2","982000167212665","10",27,"2021","27_2021",2021-07-12,0,0
"3","982126054418841","10",28,"2021","28_2021",2021-07-12,0,0
"4","982000167209009","10",29,"2021","29_2021",2021-07-12,0,0
"5","985170001765443","11",16,"2021","16_2021",2021-07-12,0,0
"6","982000365435107","11",17,"2021","17_2021",2021-07-12,1.547,0.934916195997319
"7","985170001764252","11",18,"2021","18_2021",2021-07-12,14.101,2.71476096679365
"8","1370","11",19,"2021","19_2021",2021-07-12,0.895000000000003,0.639218838534391
"9","900118000002890","11",14,"2021","14_2021",2021-07-12,5.02200000000002,1.79541943005955
"10","71B","11",15,"2021","15_2021",2021-07-12,2.55199999999999,1.26751082512992
"11","900118000003084","13",12,"2021","12_2021",2021-07-12,87.75,4.48582342835553
"12","982000167201639","13",13,"2021","13_2021",2021-07-12,112.23,4.72942114832595
"13","982000167211662","15",11,"2021","11_2021",2021-07-12,119.01,4.78757507264335
"14","982000167212734","6",20,"2021","20_2021",2021-07-12,0,0
"15","985170001727662","6",21,"2021","21_2021",2021-07-12,0,0
"16","8424","6",22,"2021","22_2021",2021-07-12,0,0
"17","985170001889645","6",23,"2021","23_2021",2021-07-12,0,0
"18","982126054418822","6",24,"2021","24_2021",2021-07-12,0,0
"19","985170001972439","6",25,"2021","25_2021",2021-07-12,0,0
"20","434D432441","8",30,"2021","30_2021",2021-07-12,0,0
"21","210B","8",31,"2021","31_2021",2021-07-12,0,0
"22","3001B","8",32,"2021","32_2021",2021-07-12,0,0
"23","101B","8",33,"2021","33_2021",2021-07-12,0,0
"24","900118000002982","8",34,"2021","34_2021",2021-07-12,0,0
"25","3100","8",35,"2021","35_2021",2021-07-12,3.24,1.44456326924387
"26","982000167212269","51",10,"2021","10_2021",2021-07-12,318.51,5.76678857223233
"27","597","52",1,"2021","01_2021",2021-07-12,256.83,5.55230045301322
"28","702D","52",8,"2021","08_2021",2021-07-12,321.8,5.77703293639579
"29","2304A","52",2,"2021","02_2021",2021-07-12,433.04,6.07313669575201
"30","982000167208175","52",9,"2021","09_2021",2021-07-12,397.93,5.98878596290222
"31","982000365435014","52",3,"2021","03_2021",2021-07-12,134.37,4.90801177019769
"32","122A","52",4,"2021","04_2021",2021-07-12,388.49,5.96483819104027
"33","9898","52",5,"2021","05_2021",2021-07-12,533.24,6.28084517619534
"34","985170001736603","52",6,"2021","06_2021",2021-07-12,67.78,4.23091300500412
"35","4358642219","52",7,"2021","07_2021",2021-07-12,301.43,5.71184984573396
"36","9441","10",41,"2021","41_2021",2021-07-27,0,0
"37","982000167205273","11",36,"2021","36_2021",2021-07-27,0,0
"38","900118000002890","11",37,"2021","37_2021",2021-07-27,0,0
"39","9812","11",40,"2021","40_2021",2021-07-27,0,0
"40","982000365435107","11",38,"2021","38_2021",2021-07-27,0,0
"41","71B","11",39,"2021","39_2021",2021-07-27,0,0
"42","900118000002907","15",49,"2021","49_2021",2021-07-27,230.92,5.4463924846134
"43","985170001696220","15",50,"2021","50_2021",2021-07-27,236.85,5.47164022287829
"44","2304A","52",42,"2021","42_2021",2021-07-27,17.5399999999999,2.9199305601377
"45","7934","52",43,"2021","43_2021",2021-07-27,82.7300000000002,4.42759733621634
"46","5902","52",44,"2021","44_2021",2021-07-27,239.23,5.4815967977671
"47","7","52",45,"2021","45_2021",2021-07-27,223.27,5.4128506831382
"48","4358642219","52",46,"2021","46_2021",2021-07-27,173.15,5.15991699681201
"49","435928254A","52",47,"2021","47_2021",2021-07-27,127.55,4.8563179337119
"50","9898","52",48,"2021","48_2021",2021-07-27,1.095,0.7395535533741
"51","985170001972439","6",51,"2021","51_2021",2021-07-27,0,0
"52","340C","8",52,"2021","52_2021",2021-07-27,0,0
"53","1492","8",53,"2021","53_2021",2021-07-27,0,0
"54","3100","8",54,"2021","54_2021",2021-07-27,0,0
"55","900118000002982","8",55,"2021","55_2021",2021-07-27,0,0
"56","900118000002813","8",56,"2021","56_2021",2021-07-27,0,0
"57","982091066167264","15",79,"2022","22_2022",2022-07-11,41.0999999999999,3.74004774068833
"58","900118000002907","15",80,"2022","23_2022",2022-07-11,51.8000000000001,3.96651119071222
"59","982091066165252","8",60,"2022","03_2022",2022-07-11,41.9,3.75887182593397
"60","900118000002910","8",61,"2022","04_2022",2022-07-11,34.1,3.55820113047182
"61","982000167212734","8",62,"2022","05_2022",2022-07-11,50.9,3.94931879017184
"62","982091066167420","8",63,"2022","06_2022",2022-07-11,15.1000000000001,2.77881927199042
