"","DATEOFYEAR","Year","INDIV_ID","INDIV_ID_Year","MORPH","POND","COHORT","SEX","WEIGHT","SVL","SVL_fit","SVL_fit_lwr","SVL_fit_upr","SVL_residual","SVL_residual_mean"
"1",2000-06-10,2000,"1042","1042_2000","Meta","5",1999,"Male",9.1,85,78.27582568547,76.831450494349,79.5913331728899,6.72417431453003,0.874296615751874
"2",2000-06-27,2000,"8424","8424_2000","Meta","12",1999,"Male",16.8,89,78.27582568547,76.831450494349,79.5913331728899,10.72417431453,-2.01158856678602
"3",2001-07-12,2001,"2000F","2000F_2001","Meta","8",2000,"Male",20.9,85,78.27582568547,76.831450494349,79.5913331728899,6.72417431453003,5.48889189154908
"4",2001-06-27,2001,"2712","2712_2001","Meta","8",2000,"Female",39.2,101,78.27582568547,76.831450494349,79.5913331728899,22.72417431453,14.1974031609815
"5",2001-07-12,2001,"2712","2712_2001","Meta","8",2000,"Female",39.9,100,78.27582568547,76.831450494349,79.5913331728899,21.72417431453,14.1974031609815
"6",2009-07-27,2009,"435867217D","435867217D_2009","Meta","8",2007,"Female",19.79,81,80.3106910542533,79.2562654431158,81.3034547489479,0.689308945746703,3.92847801445332
"7",2002-07-23,2002,"3104A","3104A_2002","Meta","12",2000,"Male",18.8,86,80.3106910542533,79.2562654431158,81.3034547489479,5.6893089457467,3.30694460981834
"8",2006-08-02,2006,"433D181237","433D181237_2006","Meta","12",2004,"Male",14.5,81,80.3106910542533,79.2562654431158,81.3034547489479,0.689308945746703,-1.22891191361436
"9",2022-07-06,2022,"982091066167420","982091066167420_2022","Meta","8",2020,"Female",17.24,79,80.3106910542533,79.2562654431158,81.3034547489479,-1.3106910542533,-1.3106910542533
"10",1992-07-21,1992,"3090","3090_1992","Meta","10",1990,"Male",20.3,91,80.3106910542533,79.2562654431158,81.3034547489479,10.6893089457467,9.02108808638564
"11",1990-07-12,1990,"884","884_1990","Meta","1",1988,"Female",22,88,80.3106910542533,79.2562654431158,81.3034547489479,7.6893089457467,5.940439408414
